Year,Make,Model,Class,Transmission,Cylinders,Engine,FuelType,City,Highway,Combined
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Regular,14,17,15
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,14,17,15
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,14,18,16
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,12,17,14
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,12,16,13
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.7,Regular,11,16,13
1985,AM General,Post Office DJ8 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,6,4.2,Regular,13,13,13
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,16,13
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,14,12
1993,Chevrolet,K1500 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,6.2,Diesel,15,20,17
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Regular,14,17,15
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,13,17,14
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,14,17,15
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,12,17,14
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,12,16,13
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,16,13
1985,Chevrolet,Suburban C10 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,8,5,Regular,12,16,14
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,14,12
1993,Chevrolet,Pickup 2500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,6.2,Diesel,15,20,17
1993,Chevrolet,S10 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Regular,15,19,16
1993,Chevrolet,S10 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,15,20,16
1993,Nissan,Truck 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.4,Regular,16,20,18
1993,Nissan,Truck 4WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,14,17,15
1993,Nissan,Truck 4WD,Standard Pickup Trucks,Manual 5-spd,6,3,Regular,14,18,15
1993,Dodge,Dakota Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,6,3.9,Regular,13,17,14
1993,Dodge,Dakota Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,3.9,Regular,14,18,15
1993,Dodge,Dakota Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.2,Regular,11,16,13
1985,Chevrolet,Suburban C10 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,Dodge,Power Ram 50 4WD,Standard Pickup Trucks,Automatic 4-spd,4,2.4,Regular,16,19,17
1993,Dodge,Power Ram 50 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.4,Regular,17,20,18
1993,Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,6,3.9,Regular,12,16,14
1993,Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,3.9,Regular,11,16,13
1993,Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.2,Regular,11,15,13
1993,Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.2,Regular,12,15,13
1993,Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.9,Regular,10,14,12
1993,Dodge,W100/W150 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.9,Regular,10,13,11
1993,Dodge,W250 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.2,Regular,11,15,12
1993,Dodge,W250 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.2,Regular,12,15,13
1985,Chevrolet,Suburban C10 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,8,6.2,Diesel,15,22,18
1993,Dodge,W250 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.9,Regular,10,14,12
1993,Dodge,W250 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.9,Regular,10,13,11
1993,Jeep,Comanche Pickup 2WD,Standard Pickup Trucks,Manual 4-spd,4,2.5,Regular,18,21,19
1993,Jeep,Comanche Pickup 2WD,Standard Pickup Trucks,Manual 5-spd,4,2.5,Regular,17,21,19
1993,Jeep,Comanche Pickup 2WD,Standard Pickup Trucks,Automatic 4-spd,6,4,Regular,14,19,16
1993,Jeep,Comanche Pickup 2WD,Standard Pickup Trucks,Manual 5-spd,6,4,Regular,15,20,17
1993,Ford,F150 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4.9,Regular,13,17,14
1993,Ford,F150 Pickup 4WD,Standard Pickup Trucks,Manual 4-spd,6,4.9,Regular,14,16,15
1993,Ford,F150 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.9,Regular,14,17,15
